agency,clean_zip
3-1-1,10024
3-1-1,10026
3-1-1,10032
3-1-1,10280
3-1-1,10462
3-1-1,10463
3-1-1,11004
3-1-1,11109
3-1-1,11201
3-1-1,11211
3-1-1,11214
3-1-1,11218
3-1-1,11222
3-1-1,11223
3-1-1,11228
3-1-1,11239
3-1-1,11360
3-1-1,11385
DCA,10001
DCA,10018
DCA,10019
DCA,10036
DCA,10045
DCA,10048
DCA,10115
DCA,10152
DCA,10154
DCA,10155
DCA,10158
DCA,10167
DCA,10174
DCA,10271
DCA,10458
DCA,10501
DCA,10562
DCA,10702
DCA,10706
DCA,10924
DCA,10952
DCA,10960
DCA,10970
DCA,11101
DCA,11201
DCA,11207
DCA,11208
DCA,11212
DCA,11220
DCA,11226
DCA,11234
DCA,11235
DCA,11354
DCA,11359
DCA,11372
DCA,11373
DCA,11377
DCA,11432
DCA,11556
DCA,11565
DCA,11765
DCA,11901
DCA,12205
DCA,12206
DCA,12553
DCA,12771
DCA,13053
DCA,13501
DCA,13601
DCA,14127
DCA,14222
DCA,14223
DCA,14414
DCA,14814
DCA,14892
DEP,10003
DEP,10011
DEP,10016
DEP,10019
DEP,10025
DEP,10035
DEP,10045
DEP,10110
DEP,10120
DEP,10123
DEP,10171
DEP,10174
DEP,10281
DEP,10314
DEP,10463
DEP,10803
DEP,11215
DEP,11220
DEP,11235
DEP,11242
DEP,11368
DEP,11373
DEP,11385
DFTA,10021
DFTA,10025
DFTA,10467
DFTA,10530
DFTA,10595
DFTA,10703
DFTA,10704
DFTA,10940
DFTA,10960
DFTA,10962
DFTA,11201
DFTA,11203
DFTA,11207
DFTA,11208
DFTA,11212
DFTA,11226
DFTA,11229
DFTA,11230
DFTA,11234
DFTA,11235
DFTA,11236
DFTA,11375
DFTA,11412
DFTA,11434
DFTA,12206
DFTA,12721
DFTA,12814
DFTA,13820
DFTA,14626
DHS,10001
DHS,10003
DHS,10011
DHS,10016
DHS,10019
DHS,10023
DHS,10036
DHS,10171
DHS,10467
DHS,11207
DHS,11208
DHS,11233
DOB,10011
DOB,10025
DOB,10110
DOB,10111
DOB,10115
DOB,10120
DOB,10151
DOB,10152
DOB,10158
DOB,10173
DOB,10175
DOB,10176
DOB,10177
DOB,10178
DOB,10803
DOB,11101
DOB,11104
DOB,11201
DOB,11208
DOB,11211
DOB,11220
DOB,11221
DOB,11226
DOB,11235
DOB,11243
DOB,11357
DOB,11359
DOB,11371
DOB,11419
DOE,10018
DOE,10019
DOE,10023
DOE,10025
DOE,10112
DOE,10456
DOE,10458
DOE,10463
DOE,10466
DOE,10471
DOE,11001
DOE,11109
DOE,11212
DOE,11214
DOE,11221
DOE,11249
DOE,11415
DOE,11429
DOE,11432
DOF,10019
DOF,10025
DOF,10033
DOF,10105
DOF,10106
DOF,10110
DOF,10118
DOF,10123
DOF,10152
DOF,10155
DOF,10279
DOF,10306
DOF,10312
DOF,10314
DOF,10456
DOF,10504
DOF,10528
DOF,10603
DOF,10930
DOF,10956
DOF,11030
DOF,11050
DOF,11214
DOF,11219
DOF,11226
DOF,11229
DOF,11234
DOF,11235
DOF,11375
DOF,11783
DOF,11790
DOF,12775
DOHMH,10001
DOHMH,10024
DOHMH,10025
DOHMH,10106
DOHMH,10110
DOHMH,10115
DOHMH,10154
DOHMH,10166
DOHMH,10167
DOHMH,10172
DOHMH,10176
DOHMH,10177
DOHMH,10306
DOHMH,10312
DOHMH,10314
DOHMH,10458
DOHMH,10467
DOHMH,11216
DOHMH,11221
DOHMH,11226
DOHMH,11235
DOHMH,11242
DOHMH,11434
DOHMH,11559
DOHMH,11753
DOITT,10003
DOITT,10016
DOITT,10019
DOITT,10022
DOITT,10025
DOITT,10036
DOITT,10040
DOITT,10069
DOITT,10168
DOITT,10280
DOITT,11004
DOITT,11040
DOITT,11106
DOITT,11203
DOITT,11205
DOITT,11239
DOITT,11411
DOT,10002
DOT,10003
DOT,10004
DOT,10009
DOT,10010
DOT,10019
DOT,10044
DOT,10104
DOT,10122
DOT,10176
DOT,10312
DOT,10314
DOT,11101
DOT,11201
DOT,11215
DOT,11234
DOT,11235
DOT,11241
DOT,11377
DOT,11385
DOT,11420
DOT,11516
DOT,11793
DPR,10002
DPR,10011
DPR,10020
DPR,10021
DPR,10111
DPR,10153
DPR,10154
DPR,10155
DPR,10278
DPR,10306
DPR,10312
DPR,10314
DPR,11208
DPR,11215
DPR,11220
DPR,11234
DPR,11357
DPR,11385
DSNY,10025
DSNY,10032
DSNY,10110
DSNY,10120
DSNY,10122
DSNY,10173
DSNY,10175
DSNY,10177
DSNY,10312
DSNY,10314
DSNY,11207
DSNY,11208
DSNY,11215
DSNY,11223
DSNY,11230
DSNY,11234
DSNY,11236
DSNY,11385
EDC,10011
EDC,10016
EDC,10024
EDC,10041
EDC,10120
EDC,10122
EDC,10174
EDC,10278
EDC,10473
EDC,11201
EDC,11224
EDC,11355
EDC,11356
EDC,11362
EDC,11365
EDC,11414
EDC,11417
EDC,11422
EDC,11436
HPD,10001
HPD,10030
HPD,10103
HPD,10106
HPD,10118
HPD,10120
HPD,10121
HPD,10172
HPD,10177
HPD,10279
HPD,10452
HPD,10453
HPD,10456
HPD,10457
HPD,10458
HPD,10467
HPD,10468
HPD,11206
HPD,11226
HPD,11230
NYCEM,10457
NYCEM,11208
NYPD,10001
NYPD,10003
NYPD,10004
NYPD,10007
NYPD,10019
NYPD,10031
NYPD,10166
NYPD,10167
NYPD,10177
NYPD,10314
NYPD,10458
NYPD,10466
NYPD,10472
NYPD,10803
NYPD,11096
NYPD,11221
NYPD,11223
NYPD,11230
NYPD,11234
NYPD,11368
NYPD,11377
NYPD,11378
NYPD,11385
OSE,10001
OSE,10002
OSE,10003
OSE,10055
OSE,10107
OSE,10119
OSE,10155
OSE,10158
OSE,10162
OSE,10165
OSE,10166
OSE,10169
OSE,11103
OSE,11206
OSE,11209
OSE,11211
OSE,11219
OSE,11229
OSE,11230
OSE,11235
OSE,11697
TLC,10001
TLC,10002
TLC,10003
TLC,10009
TLC,10011
TLC,10012
TLC,10014
TLC,10016
TLC,10017
TLC,10019
TLC,10022
TLC,10023
TLC,10036
TLC,10121
TLC,10152
TLC,10166
TLC,10171
TLC,10462
TLC,10507
TLC,10514
TLC,10594
TLC,10952
TLC,11201
TLC,11369
TLC,11430
TLC,11596
TLC,11702
TLC,11709
TLC,11713
TLC,11740
TLC,11754
TLC,11755
TLC,11766
TLC,11767
TLC,11782
TLC,11784
TLC,11804
TLC,11901
TLC,11950
TLC,11951
TLC,14526
